company,industry,region,lead_source,job_title,current_plan,employees,annual_revenue_musd,trial_users,pricing_page_visits,daily_active_users,invited_teammates,webinar_attended,support_tickets,days_since_signup,email_opens,product_sessions,feature_events,buying_intent_score,icp_match_score,converted
Cybersecurity Co 1,Cybersecurity,India,Email Campaign,VP,Growth,34,1.08,38,20,5,11,0,0,277,36,99,64,100,33,0
RealEstate Co 2,Real Estate,APAC,Webinar,Manager,Starter,20,0.67,48,85,8,14,0,9,320,31,65,142,58,23,0
E-commerce Co 3,E-commerce,North America,Email Campaign,Director,Enterprise,3465,72.76,20,39,23,4,0,5,285,17,106,209,76,92,0
Manufacturing Co 4,Manufacturing,LATAM,Referral,Manager,Enterprise,1717,27.28,47,68,0,11,0,3,343,24,66,32,56,14,0
Manufacturing Co 5,Manufacturing,North America,Organic Search,Individual Contributor,Free Trial,8,0.3,23,12,13,4,1,6,274,35,127,150,42,80,0
EdTech Co 6,EdTech,India,Conference,C-Level,Starter,35,0.61,50,50,23,8,0,0,143,19,95,77,38,69,0
E-commerce Co 7,E-commerce,India,Conference,C-Level,Starter,286,4.29,3,20,7,11,0,0,196,2,58,79,67,67,0
FinTech Co 8,FinTech,LATAM,Conference,VP,Free Trial,5,0.08,38,59,29,17,0,5,243,20,121,208,22,46,0
RealEstate Co 9,Real Estate,Middle East,LinkedIn,Individual Contributor,Growth,720,8.1,7,21,13,13,1,9,152,30,26,81,37,99,0
E-commerce Co 10,E-commerce,LATAM,Organic Search,Director,Starter,424,4.51,6,70,13,10,0,0,175,20,27,45,25,88,0
FinTech Co 11,FinTech,LATAM,Referral,Director,Enterprise,147,4.09,46,81,3,14,1,6,242,12,109,211,21,55,1
Cybersecurity Co 12,Cybersecurity,Europe,LinkedIn,C-Level,Free Trial,16,0.51,52,60,8,10,1,4,398,21,95,10,6,95,1
RealEstate Co 13,Real Estate,Middle East,Organic Search,VP,Free Trial,1067,31,17,28,0,12,0,4,308,28,128,61,39,86,0
EdTech Co 14,EdTech,LATAM,Email Campaign,Director,Enterprise,108,1.43,8,25,6,2,0,4,71,17,59,187,41,15,0
E-commerce Co 15,E-commerce,LATAM,Email Campaign,VP,Free Trial,7,0.21,11,69,18,8,0,9,300,22,94,216,32,13,0
SaaS Co 16,SaaS,North America,Webinar,Director,Growth,2595,69.96,47,84,5,5,1,9,37,20,46,19,95,59,1
RealEstate Co 17,Real Estate,North America,Referral,Director,Starter,101,3.26,15,69,10,17,1,5,44,0,28,50,80,36,1
Cybersecurity Co 18,Cybersecurity,APAC,Email Campaign,C-Level,Starter,129,4.77,52,38,14,12,1,5,20,32,113,8,61,70,0
Manufacturing Co 19,Manufacturing,North America,Referral,Director,Enterprise,1263,33.23,30,85,5,12,0,7,22,2,35,171,14,36,0
